FILER_BED_format	FILER_BED_type	FILER_BED_schema	FILER_BED_total_columns	FILER_BED_AutoSQL_files	bigBed_type	biBed_total_columns	bigBed_autoSQL_schema	bigBed_AutoSQL_files	Comments
bed bed9	bed9	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;itemRgb	9	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed9.as	bed9	9	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;reserved	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed9.as	
bed bedExonScore	bed6+3	chrom;chromStart;chromEnd;name;score;strand;signalValue;exonCount;constituitiveExons	9	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bedExonScore.as	bed6+3	9	chrom;chromStart;chromEnd;name;score;strand;signalValue;exonCount;constituitiveExons	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bedExonScore.as	
bed bedLogR	bed9+1	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;reserved;logR	10	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bedLogR.as	bed9+1	10	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;reserved;logR	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bedLogR.as	
bed bedMethyl	bed9+2	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;reserved;readCount;percentMeth	11	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bedMethyl.as	bed9+2	11	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;reserved;readCount;percentMeth	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bedMethyl.as	
bed bedRnaElements	bed6+3	chrom;chromStart;chromEnd;name;score;strand;level;signif;score2	9	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bedRnaElements.as	bed6+3	9	chrom;chromStart;chromEnd;name;score;strand;level;signif;score2	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bedRnaElements.as	
bed broadPeak	bed6+3	chrom;chromStart;chromEnd;name;score;strand;signalValue;pValue;qValue	9	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_broadPeak.as	bed6+3	9	chrom;chromStart;chromEnd;name;score;strand;signalValue;pValue;qValue	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_broadPeak.as	
bed idr_peak	bed6+8	chrom;chromStart;chromEnd;name;score;strand;localIDR;globalIDR;rep1_chromStart;rep1_chromEnd;rep1_count;rep2_chromStart;rep2_chromEnd;rep2_count	14	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_idr_peak.as	bed6+8	14	chrom;chromStart;chromEnd;name;score;strand;localIDR;globalIDR;rep1_chromStart;rep1_chromEnd;rep1_count;rep2_chromStart;rep2_chromEnd;rep2_count	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_idr_peak.as	
bed narrowPeak	bed6+4	chrom;chromStart;chromEnd;name;score;strand;signalValue;pValue;qValue;peak	10	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_narrowPeak.as	bed6+4	10	chrom;chromStart;chromEnd;name;score;strand;signalValue;pValue;qValue;peak	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_narrowPeak.as	
bed tss_peak	bed6+5	chrom;chromStart;chromEnd;name;score;strand;count;gene_id;gene_name;tss_id;peak_cov	11	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_tss_peak.as	bed6+5	11	chrom;chromStart;chromEnd;name;score;strand;count;gene_id;gene_name;tss_id;peak_cov	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_tss_peak.as	
bed bed3+1 score	bed3+1	chrom;chromStart;chromEnd;score	4	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed3+1_score.as	bed3+1	4	chrom;chromStart;chromEnd;score	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed3+1_score.as	
bed bed12	bed12	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;itemRgb;blockCount;blockSizes;blockStarts	12	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed12.as	bed12	12	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;reserved;blockCount;blockSizes;chromStarts	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed12.as	
bed bed6+5 VISTA_enhancer	bed6+5	chrom;chromStart;chromEnd;name;score;strand;annotation;enhancer_sequence;reference_sequence;expressionPattern;Flanking_genes	11	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed6+5_VISTA_enhancer.as	bed6+5	11	chrom;chromStart;chromEnd;name;score;strand;annotation;enhancer_sequence;reference_sequence;expressionPattern;Flanking_genes	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6+5_VISTA_enhancer.as	
bed bed3+2 telomere_gaps	bed3+2	chrom;chromStart;chromEnd;size;type	5	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed3+2_telomere_gaps.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed bed3+4 CADDScore	bed3+4	chrom;chromStart;chromEnd;ref;alt;rawScore;PHRED	7	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed3+4_CADDScore.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed bed4+3 variant	bed4+3	chrom;chromStart;chromEnd;name;ref;alt;info	7	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed4+3_variant.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed bed3+6 gff	bed3+6	chrom;chromStart;chromEnd;source;type;strand;score;phase;gft/gff_attributes	9	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed3+6_gff.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed bedPolyA	bed4+7	chrom;chromStart;chromEnd;polyA-clusterID;averageExpression;strand;percent;sampleNumber;expression;abbrevation;polyA-signalSequence	11	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bedPolyA.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed bed9+5 WGBS	bed9+5	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;itemRgb;coverage;readPercent;referenceGenotype;sampleGenotype;QualityScore	14	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed9+5_WGBS.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed gappedPeak	bed12+3	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;itemRgb;blockCount;blockSizes;blockStarts;signalValue;pValue;qValue	15	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_gappedPeak.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed narrowPeak-lifted	bed3+10	chrom(hg38);chromStart(hg38);chromEnd(hg38);chrom(hg19);chromStart(hg19);chromEnd(hg19);name;score;strand;signalValue;pValue;qValue;peak	13	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_narrowPeak_lifted.as	bed6+4	10	chrom;chromStart;chromEnd;name;score;strand;signalValue;pValue;qValue;peak	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_narrowPeak.as	same schema as hg19, with hg38 co-ordinates
bed bed12-lifted	bed3+12	chrom(hg38);chromStart(hg38);chromEnd(hg38);chrom(hg19);chromStart(hg19);chromEnd(hg19);name;score;strand;thickStart;thickEnd;itemRgb;blockCount;blockSizes;blockStarts	15	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed12_lifted.as	bed12	12	chrom;chromStart;chromEnd;name;score;strand;thickStart;thickEnd;reserved;blockCount;blockSizes;chromStarts	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed12.as	same schema as hg19, with hg38 co-ordinates
bed gappedPeak-lifted	bed3+15	chrom(hg38);chromStart(hg38);chromEnd(hg38);chrom(hg19);chromStart(hg19);chromEnd(hg19);name;score;strand;thickStart;thickEnd;itemRgb;blockCount;blockSizes;blockStarts;signalValue;pValue;qValue	18	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_gappedPeak_lifted.as	skipped	skipped	skipped	skipped	not included in the trackHub
bed broadPeak-lifted	bed3+9	chrom(hg38);chromStart(hg38);chromEnd(hg38);chrom(hg19);chromStart(hg19);chromEnd(hg19);name;score;strand;signalValue;pValue;qValue	12	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_broadPeak_lifted.as	bed6+3	9	chrom;chromStart;chromEnd;name;score;strand;signalValue;pValue;qValue	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_broadPeak.as	same schema as hg19, with hg38 co-ordinates
bed bed3+11 ATACdb-lifted	bed3+11	chrom;chromStart;chromEnd;chrom_hg19;chromStart_hg19;chromEnd_hg19;name;score;strand;motif_id;pValue;qValue;binding_sequence;open_chromatin_region_hg38	14	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed3+11_ATACdb_lifted.as	bed6+5	11	chrom;chromStart;chromEnd;name;score;strand;motif_id;pValue;qValue;binding_sequence;open_chromatin_region	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6+5_ATACdb.as	same schema as hg19, with hg38 co-ordinates
bed bed6-lifted	bed3+6	chrom(hg38);chromStart(hg38);chromEnd(hg38);chrom(hg19);chromStart(hg19);chromEnd(hg19);name;score;strand	9	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed6_lifted.as	bed6	6	chrom;chromStart;chromEnd;name;score;strand	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed6.as	same schema as hg19, with hg38 co-ordinates
bed bed3-lifted	bed3+3	chrom(hg38);chromStart(hg38);chromEnd(hg38);chrom(hg19);chromStart(hg19);chromEnd(hg19)	6	/mnt/website-data/GADB/schemas/FILER_autoSQL_files/bed_bed3_lifted.as	bed3	3	chrom;chromStart;chromEnd	/mnt/ebs/jackal/users/pganga/UCSC_browser_tracks/bedTobigBed/as/bed_bed3.as	same schema as hg19, with hg38 co-ordinates
